City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Tres Arroyos,AR,-38.3739,-60.2798,46.04,49,16,5.93,few clouds
79,Cabo San Lucas,MX,22.8909,-109.9124,82.62,62,100,4.0,overcast clouds
80,Sao Filipe,CV,14.8961,-24.4956,75.4,67,100,8.75,overcast clouds
81,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,86,100,23.02,light snow
82,Sistranda,NO,63.7256,8.834,42.76,82,100,26.33,overcast clouds
83,Bethel,US,41.3712,-73.414,71.69,87,100,4.61,overcast clouds
84,Buala,SB,-8.145,159.5921,83.97,74,38,1.95,light rain
85,Ratnagiri,IN,16.9833,73.3,82.85,74,74,5.28,broken clouds
86,Aklavik,CA,68.2191,-135.0107,32.11,82,100,19.64,overcast clouds
87,Vilhena,BR,-12.7406,-60.1458,73.8,62,99,3.09,overcast clouds
88,Mazyr,BY,52.0495,29.2456,50.83,73,100,4.43,overcast clouds
89,Airai,TL,-8.9266,125.4092,71.01,67,26,1.86,scattered clouds
90,Praia,CV,14.9215,-23.5087,79.34,41,0,26.46,clear sky
91,Maningrida,AU,-12.0667,134.2667,85.01,55,8,5.79,clear sky
92,Kahului,US,20.8947,-156.47,84.22,48,40,25.32,scattered clouds
93,Okhotsk,RU,59.3833,143.3,34.03,95,100,10.92,light snow
94,Jumla,NP,29.2747,82.1838,59.54,72,5,2.57,clear sky
95,Suicheng,CN,33.8963,117.9331,68.99,43,96,5.61,overcast clouds
96,Thompson,CA,55.7435,-97.8558,33.96,100,100,23.02,mist
97,Longyearbyen,SJ,78.2186,15.6401,21.04,68,75,12.66,broken clouds
98,Bongandanga,CD,1.5,21.05,72.25,86,100,1.52,overcast clouds
99,Kloulklubed,PW,7.0419,134.2556,79.3,76,100,9.6,overcast clouds
100,Nikolskoye,RU,59.7035,30.7861,45.72,87,18,6.76,few clouds
101,Inhambane,MZ,-23.865,35.3833,69.26,78,0,3.29,clear sky
102,Muskegon,US,43.3,-86.1334,82.74,36,75,6.91,broken clouds
103,Nueve De Julio,AR,-35.4444,-60.8831,55.58,79,23,5.32,few clouds
104,Nurota,UZ,40.5614,65.6886,62.11,60,100,10.47,overcast clouds
105,Umm Lajj,SA,25.0213,37.2685,91.04,26,0,13.2,clear sky
106,Mitsamiouli,KM,-11.3847,43.2844,78.64,72,1,7.25,clear sky
107,Laurel,US,39.0993,-76.8483,70.2,94,100,6.91,overcast clouds
108,Jamestown,US,42.097,-79.2353,74.84,53,40,8.05,scattered clouds
109,Bengkulu,ID,-3.8004,102.2655,80.89,79,74,2.62,moderate rain
110,Mahebourg,MU,-20.4081,57.7,73.69,73,40,3.44,scattered clouds
111,Zlobin,HR,45.2924,14.6541,61.9,74,0,5.75,clear sky
112,Oranjestad,AW,12.524,-70.027,82.35,78,20,25.32,few clouds
